Muppet
Amazing Mumford
Abby Cadabby
Alice Snuffleupagus
Alistair Cookie
Aristotle
Arlene Frantic
Baby Bear
Barkley
Beautiful Day Monster
Bennett Snerf
Benny Rabbit
Bert
Betty Lou
Biff
Big Bird
Big Jeffy
Bip Bippadotta
Bruno the Trashman
Buster the Horse
Captain Breakfast
Clementine
Colambo
Cookie Monster
Count von Count
Curly Bear
Deena
Dingers
Don Music
Dr. Feel
Dr. Nobel Price
Elizabeth
Elmo
Ernestine
Ernie
Farley
Ferlinghetti Donizetti
Flo Bear
Fluffy the Elephant
Forgetful Jones
Frazzle
Fred the Wonder Horse
Gladys the Cow
Googel
Granny Bird
Granny Fanny Nestlerode
Grover
Grundgetta
Gulliver
Guy Smiley
Harvey Kneeslapper
Herbert Birdsfoot
Herry Monster
Honkers
Hoots the Owl
Horatio the Elephant
Humphrey
Ingrid
Jamie Fox
Julia
Kingston Livingston III
Lefty the Salesman
Little Bird
Little Chrissy
Little Jerry
Little Murray Sparkles
Liz Lemon
Louie
Mae
Mama Bear
Mel
Monty
Mr. Johnson
Mr. Snuffleupagus
Murray Monster
Narf
Natasha
Oscar the Grouch
Ovejita
Papa Bear
Phoebe
Placido Flamingo
Prairie Dawn
Prince Charming
Professor Hastings
Roosevelt Franklin
Roosevelt Franklin's Mother
Rosita
Roxie Marie
Ruby
Rudy
SAM the Robot
Segi[123]
Sherlock Hemlock
Sherry Netherland
Simon Soundman
Slimey the Worm
Sonny Friendly
Stinky the Stinkweed
Sully
Super Grover
Telly Monster
The Countess
The Martians[106]
The Twiddlebugs
Two-Headed Monster
Wolfgang
Zari
Zeerak
